type_habits;prix;adresse;image_lien
Lacoste homme;6 500 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5422133_uploaded_image1_1752479744.jpg
Ensemble homme;7 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg
Ensemble homme;7 500 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5739042_uploaded_image1_1769255793.jpg
Ensemble grand boubou 3 pièces;30 000 CFA;HLM, Dakar, Sénégal;https://images.coinafrique.com/thumb_5323007_uploaded_image1_1747004223.jpg
Ensemble 3 pièces;30 000 CFA;HLM, Dakar, Sénégal;https://images.coinafrique.com/thumb_5323878_uploaded_image1_1747055928.jpg
Pantalon Jean  homme;20 000 CFA;Dakar, Sénégal;https://images.coinafrique.com/thumb_5325030_uploaded_image1_1747102473.jpg
Culotte cuissar;3 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5280464_uploaded_image1_1744591038.jpg
Ensemble homme;5 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5640578_uploaded_image1_1764085646.jpg
Shorts;3 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg
Pantalon Kaki;7 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg
Pantalon Kaki;7 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg
Ensemble;6 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
Jogging;7 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5299462_uploaded_image1_1745669058.jpg
Ensemble homme;8 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
Polo Lacoste coton;6 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5293055_uploaded_image1_1745339693.jpg
Ensemble;12 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
Chemise  homme;Prix sur demande;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5715576_uploaded_image1_1768156314.jpg
Ensemble pantalon;15 000 CFA;Guediawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_5329465_uploaded_image1_1747315368.jpg
Grand boubou homme;Prix sur demande;Guediawaye, Dakar, Sénégal;https://images.coinafrique.com/thumb_5663290_uploaded_image1_1765273622.jpg
Ensemble homme;12 000 CFA;Mbao, Dakar, Sénégal;https://images.coinafrique.com/thumb_5749883_uploaded_image1_1769781404.jpg
Lacoste coton unique;5 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5287008_uploaded_image1_1744926363.jpg
Shorts cotton 100℅;3 500 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5287002_uploaded_image1_1744926217.jpg
Short cotton;7 000 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5374534_uploaded_image1_1749919474.jpg
Ensemble coton 100℅;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5287998_uploaded_image1_1744981046.jpg
Pantalon homme;Prix sur demande;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5743341_uploaded_image1_1769469453.jpg
Polo Lacoste;6 500 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg
Chemise coton;7 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg
Chemise coton;7 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5595880_uploaded_image1_1761763593.jpg
Ensemble homme;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
Ensemble homme;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
Ensemble homme;13 000 CFA;Dakar Plateau, Dakar, Sénégal;https://images.coinafrique.com/thumb_5713973_uploaded_image1_1768048230.jpg
Sorts  Cotton;6 500 CFA;Colobane, Dakar, Sénégal;https://images.coinafrique.com/thumb_5374540_uploaded_image1_1749919718.jpg
